our_price,competitor_price,rpi,price_gap,days_since_last_purchase,user_loyalty,purchased
80.38,136.8,0.588,-56.43,3,10,1
17.21,45.02,0.382,-27.81,9,3,1
49.01,66.49,0.737,-17.48,30,2,0
137.16,370.25,0.37,-233.09,1,1,1
43.54,41.3,1.054,2.24,1,8,1
30.29,32.0,0.946,-1.71,3,1,0
78.52,34.82,2.255,43.7,14,10,0
147.99,362.29,0.408,-214.3,4,8,1
43.89,62.59,0.701,-18.7,2,5,1
104.1,95.63,1.089,8.47,8,4,1
116.63,107.98,1.08,8.65,13,8,1
43.27,118.29,0.366,-75.02,4,8,1
111.95,285.65,0.392,-173.7,5,8,1
61.49,110.35,0.557,-48.86,13,3,1
98.52,193.45,0.509,-94.93,40,8,1
98.69,156.0,0.633,-57.31,15,1,1
85.01,115.4,0.737,-30.39,21,4,1
22.64,62.75,0.361,-40.11,6,5,1
126.94,81.14,1.565,45.81,4,6,0
54.91,78.51,0.699,-23.6,8,5,1
36.11,44.43,0.813,-8.32,23,5,0
15.71,25.84,0.608,-10.13,8,5,1
92.73,142.39,0.651,-49.66,26,9,1
104.86,178.37,0.588,-73.51,62,10,1
12.32,8.35,1.475,3.97,1,10,0
81.69,137.69,0.593,-56.0,1,3,1
41.71,39.81,1.048,1.9,2,2,0
100.32,80.03,1.254,20.3,6,10,1
34.41,16.35,2.105,18.06,1,2,0
106.73,251.8,0.424,-145.07,28,8,1
64.14,93.27,0.688,-29.13,1,5,1
141.14,281.15,0.502,-140.0,5,5,1
29.25,66.24,0.442,-36.99,2,6,1
57.75,123.25,0.469,-65.5,37,9,1
25.89,40.65,0.637,-14.76,15,7,1
139.46,187.89,0.742,-48.44,34,5,1
132.83,174.68,0.76,-41.85,50,5,1
46.11,93.52,0.493,-47.41,9,10,1
102.4,167.52,0.611,-65.12,3,9,1
124.41,322.56,0.386,-198.14,3,9,1
87.73,233.51,0.376,-145.78,3,2,1
84.15,64.0,1.315,20.15,17,7,0
43.86,29.29,1.497,14.57,1,10,1
23.03,46.12,0.499,-23.08,1,1,1
135.61,150.98,0.898,-15.37,13,4,1
136.06,47.64,2.856,88.42,14,2,0
98.63,266.25,0.37,-167.61,15,10,1
57.46,52.44,1.096,5.02,6,9,1
58.89,165.42,0.356,-106.53,22,6,1
111.63,249.73,0.447,-138.1,10,4,1
135.6,319.89,0.424,-184.3,1,3,1
134.19,113.25,1.185,20.94,22,4,0
119.18,111.12,1.073,8.07,42,2,0
99.88,170.54,0.586,-70.66,1,5,1
21.78,16.65,1.308,5.13,6,9,0
32.63,36.7,0.889,-4.07,9,6,0
135.8,158.6,0.856,-22.81,2,2,1
94.9,69.37,1.368,25.53,28,6,0
11.29,9.64,1.171,1.65,4,9,1
24.21,58.8,0.412,-34.59,21,4,1
102.89,77.31,1.331,25.58,15,1,0
10.71,4.04,2.654,6.67,12,2,0
32.51,65.0,0.5,-32.49,2,5,1
86.82,254.84,0.341,-168.02,3,10,1
106.87,127.63,0.837,-20.76,1,7,1
101.27,62.83,1.612,38.45,3,8,0
41.4,76.17,0.543,-34.78,5,3,1
109.71,301.38,0.364,-191.67,25,9,1
43.21,104.45,0.414,-61.23,6,2,0
55.56,110.04,0.505,-54.49,19,4,1
114.51,131.76,0.869,-17.25,8,4,0
100.95,177.98,0.567,-77.03,21,6,1
128.89,70.42,1.83,58.47,52,10,0
102.07,217.72,0.469,-115.66,3,6,1
89.56,202.21,0.443,-112.65,27,3,1
23.11,67.16,0.344,-44.05,13,9,1
61.48,61.67,0.997,-0.19,23,5,0
47.13,16.49,2.859,30.64,14,2,0
44.16,78.3,0.564,-34.14,7,6,1
146.22,322.91,0.453,-176.68,3,3,1
65.03,158.3,0.411,-93.26,1,8,1
134.89,111.02,1.215,23.86,10,3,0
98.36,99.02,0.993,-0.66,64,5,0
121.27,204.22,0.594,-82.95,18,4,1
80.37,95.85,0.838,-15.48,5,4,1
90.77,238.12,0.381,-147.35,24,2,1
78.95,124.68,0.633,-45.73,20,8,1
37.33,91.8,0.407,-54.47,4,3,1
111.14,207.58,0.535,-96.44,1,4,1
49.31,117.72,0.419,-68.41,1,6,1
13.4,16.06,0.835,-2.66,29,9,1
100.37,255.41,0.393,-155.05,25,4,1
34.8,36.23,0.96,-1.44,4,3,0
141.66,251.38,0.564,-109.71,4,5,1
143.55,126.01,1.139,17.54,22,9,1
138.08,218.71,0.631,-80.63,38,1,0
61.82,71.66,0.863,-9.83,21,5,1
12.16,12.41,0.98,-0.24,13,4,0
139.96,407.42,0.344,-267.45,3,5,1
69.95,51.21,1.366,18.73,10,7,0
145.33,352.54,0.412,-207.21,3,7,1
144.91,428.52,0.338,-283.62,23,7,1
129.42,45.78,2.827,83.64,6,1,0
51.22,112.04,0.457,-60.82,25,9,1
63.91,62.82,1.017,1.1,6,7,1
129.16,52.87,2.443,76.29,24,4,0
54.37,75.45,0.721,-21.08,5,4,1
33.73,95.29,0.354,-61.56,8,2,1
87.95,29.18,3.014,58.77,13,6,0
141.06,266.22,0.53,-125.16,1,10,1
107.44,177.69,0.605,-70.24,41,3,1
89.81,238.72,0.376,-148.91,11,1,1
23.6,12.44,1.898,11.17,9,5,0
96.1,205.67,0.467,-109.57,25,6,1
148.61,317.47,0.468,-168.86,28,5,1
29.61,62.38,0.475,-32.77,10,5,1
82.57,234.84,0.352,-152.28,36,10,1
132.83,335.05,0.396,-202.22,1,8,1
113.71,47.0,2.419,66.71,1,10,0
107.58,169.11,0.636,-61.53,12,1,1
108.35,148.92,0.728,-40.57,6,8,1
60.33,68.62,0.879,-8.29,8,7,1
51.1,77.61,0.658,-26.5,5,1,1
123.31,164.91,0.748,-41.6,7,9,1
123.42,181.09,0.682,-57.67,24,4,1
131.39,386.81,0.34,-255.42,12,7,1
137.85,74.35,1.854,63.51,83,3,0
81.59,227.63,0.358,-146.04,21,8,1
80.21,128.07,0.626,-47.86,4,4,1
121.76,241.59,0.504,-119.83,4,2,0
100.99,256.68,0.393,-155.68,5,2,1
108.28,137.86,0.785,-29.59,25,8,1
121.41,177.52,0.684,-56.11,1,8,1
134.6,189.21,0.711,-54.61,3,1,0
57.32,75.19,0.762,-17.87,32,6,1
62.58,175.16,0.357,-112.58,14,9,1
23.16,58.78,0.394,-35.62,3,9,1
90.96,54.06,1.683,36.9,3,2,0
15.03,8.9,1.689,6.13,27,8,0
75.18,109.41,0.687,-34.23,31,8,1
85.97,48.69,1.766,37.28,4,4,0
50.12,98.81,0.507,-48.69,7,4,1
92.72,63.79,1.454,28.93,25,5,0
14.27,24.41,0.585,-10.14,20,10,1
15.23,4.87,3.13,10.36,23,7,0
125.16,144.54,0.866,-19.38,10,1,0
60.43,128.61,0.47,-68.19,33,9,1
27.79,44.65,0.622,-16.86,5,3,1
83.11,244.47,0.34,-161.35,2,4,1
117.8,313.36,0.376,-195.56,17,7,1
40.21,51.05,0.788,-10.84,10,5,1
97.2,41.1,2.365,56.11,26,5,0
21.95,56.7,0.387,-34.75,1,1,1
17.24,47.58,0.362,-30.34,25,2,1
84.39,212.3,0.398,-127.91,4,5,1
85.69,55.31,1.549,30.38,14,2,0
99.24,297.16,0.334,-197.92,1,1,1
111.65,111.45,1.002,0.2,13,10,1
146.62,330.68,0.443,-184.06,17,3,1
82.28,226.42,0.363,-144.13,6,1,1
55.21,51.7,1.068,3.51,3,10,1
121.33,333.93,0.363,-212.6,10,8,1
47.92,54.41,0.881,-6.5,25,8,1
71.46,209.82,0.341,-138.36,5,8,1
20.98,22.23,0.944,-1.25,4,7,1
13.55,38.94,0.348,-25.39,4,7,1
144.77,64.36,2.249,80.41,41,2,0
127.04,281.39,0.451,-154.35,6,9,1
107.44,186.58,0.576,-79.15,1,7,1
67.25,106.95,0.629,-39.7,21,5,1
34.26,30.95,1.107,3.31,16,4,1
31.9,70.35,0.453,-38.44,1,8,1
45.03,36.71,1.227,8.32,58,5,0
86.89,155.77,0.558,-68.88,13,6,1
110.04,108.26,1.017,1.79,9,4,1
102.43,295.01,0.347,-192.58,6,2,1
49.19,18.56,2.65,30.63,32,7,0
143.68,120.59,1.192,23.09,3,2,0
113.31,108.12,1.048,5.19,4,7,0
87.61,124.23,0.705,-36.62,1,7,1
95.64,88.79,1.077,6.85,19,1,0
68.74,111.82,0.615,-43.08,12,10,1
44.68,118.66,0.377,-73.98,13,10,1
59.84,132.99,0.45,-73.15,3,3,1
116.1,216.63,0.536,-100.53,14,3,1
12.02,6.49,1.851,5.52,20,6,0
26.25,57.06,0.46,-30.81,6,3,1
16.44,12.32,1.335,4.12,22,9,0
15.7,38.05,0.413,-22.35,6,5,1
129.76,126.54,1.025,3.22,19,6,0
108.51,154.74,0.701,-46.23,1,6,1
76.38,95.2,0.802,-18.81,11,8,1
23.7,62.06,0.382,-38.36,48,10,1
78.83,50.58,1.558,28.25,55,3,0
76.29,139.39,0.547,-63.11,4,9,1
34.25,23.41,1.463,10.84,8,7,0
70.74,155.83,0.454,-85.1,1,6,1
65.79,180.51,0.364,-114.72,28,1,1
96.22,141.77,0.679,-45.55,11,4,1
98.91,160.03,0.618,-61.11,6,5,1
16.34,45.83,0.357,-29.48,1,2,1
62.45,106.57,0.586,-44.13,41,1,0
97.62,157.8,0.619,-60.18,10,2,1
80.44,149.74,0.537,-69.3,4,8,1
129.91,280.72,0.463,-150.81,6,10,1
102.22,60.16,1.699,42.05,4,6,0
32.81,82.58,0.397,-49.77,12,10,1
19.88,29.34,0.678,-9.46,37,2,0
99.94,49.5,2.019,50.43,27,9,0
13.71,33.22,0.413,-19.51,8,8,1
92.01,121.25,0.759,-29.24,24,4,1
141.63,80.87,1.751,60.76,7,10,0
90.57,182.15,0.497,-91.58,4,7,1
64.34,172.21,0.374,-107.86,57,3,1
100.06,269.86,0.371,-169.8,5,6,1
74.16,213.99,0.347,-139.83,5,3,1
86.39,228.3,0.378,-141.92,64,10,1
141.81,43.36,3.27,98.44,2,3,0
64.05,84.98,0.754,-20.92,20,9,1
144.57,362.87,0.398,-218.31,38,6,1
136.75,176.25,0.776,-39.5,10,8,1
37.41,71.99,0.52,-34.57,1,4,1
19.71,38.18,0.516,-18.47,6,4,1
24.11,30.99,0.778,-6.88,1,8,1
12.55,34.42,0.365,-21.86,7,7,1
23.22,38.52,0.603,-15.3,21,5,1
105.62,164.23,0.643,-58.61,8,2,1
19.97,59.77,0.334,-39.8,7,6,1
54.66,89.22,0.613,-34.57,11,1,1
128.28,100.28,1.279,28.01,12,7,0
13.26,22.34,0.593,-9.09,27,9,1
124.03,309.8,0.4,-185.77,5,5,1
49.46,118.58,0.417,-69.12,24,5,1
26.54,64.48,0.412,-37.93,11,7,1
107.54,237.85,0.452,-130.31,5,5,1
98.05,96.72,1.014,1.33,4,10,1
132.85,349.07,0.381,-216.22,6,4,1
112.91,306.25,0.369,-193.34,13,1,1
122.49,100.96,1.213,21.53,3,6,0
49.48,32.28,1.533,17.21,35,9,0
34.84,102.23,0.341,-67.39,11,4,1
115.09,304.34,0.378,-189.26,35,10,1
122.96,333.43,0.369,-210.47,1,4,1
148.67,400.4,0.371,-251.73,5,5,1
67.77,119.44,0.567,-51.68,1,6,1
62.08,126.98,0.489,-64.89,4,3,1
118.7,210.39,0.564,-91.69,27,9,1
57.71,25.29,2.282,32.42,1,1,0
140.31,324.51,0.432,-184.2,8,6,1
130.18,216.67,0.601,-86.49,1,6,1
70.06,143.54,0.488,-73.48,7,8,1
115.12,190.77,0.603,-75.65,25,5,1
115.64,188.24,0.614,-72.61,13,9,1
24.44,18.67,1.309,5.77,18,9,1
136.36,143.52,0.95,-7.16,6,2,1
80.74,58.85,1.372,21.89,40,5,1
125.7,104.12,1.207,21.58,17,7,1
54.81,160.42,0.342,-105.62,7,2,1
135.37,96.58,1.402,38.8,7,7,0
64.49,66.23,0.974,-1.74,35,9,0
11.52,21.82,0.528,-10.3,12,8,1
136.75,266.32,0.513,-129.57,17,10,1
22.78,16.3,1.397,6.48,7,9,0
54.7,133.64,0.409,-78.94,3,4,1
143.01,346.09,0.413,-203.08,18,8,1
143.09,134.61,1.063,8.48,13,9,1
90.28,97.45,0.926,-7.17,9,10,1
98.46,278.89,0.353,-180.43,13,2,1
72.78,184.09,0.395,-111.31,3,10,1
51.05,111.49,0.458,-60.45,22,3,1
56.01,29.24,1.916,26.77,41,1,0
104.15,148.87,0.7,-44.71,31,1,0
115.33,208.76,0.552,-93.43,5,10,1
120.82,97.38,1.241,23.44,7,6,0
120.55,182.05,0.662,-61.5,23,1,1
22.77,43.78,0.52,-21.01,12,5,1
79.22,93.79,0.845,-14.57,11,6,1
18.06,43.49,0.415,-25.44,36,9,1
86.93,223.35,0.389,-136.42,10,6,1
71.81,84.29,0.852,-12.48,10,4,0
134.28,344.34,0.39,-210.06,1,1,1
59.13,34.27,1.725,24.85,1,6,0
26.39,67.61,0.39,-41.22,1,7,1
30.02,21.39,1.404,8.63,34,5,0
116.61,61.09,1.909,55.52,7,6,0
96.55,196.27,0.492,-99.72,8,10,1
24.16,38.03,0.635,-13.87,26,8,1
21.77,59.91,0.363,-38.13,13,1,1
108.14,138.48,0.781,-30.34,13,8,1
20.19,21.71,0.93,-1.52,4,2,1
125.06,206.6,0.605,-81.54,25,2,1
108.87,166.69,0.653,-57.82,2,8,1
21.39,26.31,0.813,-4.92,1,2,1
21.88,47.54,0.46,-25.66,2,8,1
148.13,348.23,0.425,-200.1,4,5,1
62.4,162.43,0.384,-100.03,4,9,1
61.89,181.13,0.342,-119.24,15,9,1
123.79,126.26,0.98,-2.47,3,8,1
142.61,318.52,0.448,-175.91,15,9,1
148.04,202.0,0.733,-53.96,1,7,1
115.47,245.74,0.47,-130.27,2,8,1
62.68,99.35,0.631,-36.68,9,6,1
21.69,64.71,0.335,-43.02,35,9,1
118.8,269.44,0.441,-150.64,27,2,1
88.18,253.22,0.348,-165.04,48,3,1
69.39,177.25,0.391,-107.86,14,2,1
136.89,374.78,0.365,-237.89,15,6,1
25.57,63.89,0.4,-38.32,13,3,1
78.97,121.59,0.649,-42.62,13,1,1
11.59,11.36,1.021,0.23,2,4,0
75.61,98.29,0.769,-22.67,10,5,0
17.88,6.34,2.82,11.54,6,4,0
26.63,45.67,0.583,-19.04,8,6,1
26.45,44.01,0.601,-17.56,10,3,1
100.89,173.35,0.582,-72.46,1,10,1
114.45,335.31,0.341,-220.87,6,6,1
91.67,253.1,0.362,-161.43,1,10,1
144.7,106.59,1.358,38.11,54,1,0
62.48,80.98,0.772,-18.49,1,6,1
50.0,72.23,0.692,-22.23,4,8,1
131.6,167.59,0.785,-35.99,31,10,1
41.3,101.44,0.407,-60.14,9,8,1
144.85,248.41,0.583,-103.55,2,1,1
11.7,21.59,0.542,-9.88,6,7,1
145.78,379.49,0.384,-233.71,1,10,1
16.04,39.72,0.404,-23.68,3,10,1
134.76,88.53,1.522,46.23,1,4,0
83.88,186.84,0.449,-102.97,8,6,1
149.02,219.9,0.678,-70.88,23,6,1
20.33,22.27,0.913,-1.94,12,5,0
87.54,38.08,2.299,49.46,13,10,0
145.7,235.39,0.619,-89.69,3,9,1
83.23,104.85,0.794,-21.61,5,10,1
98.12,96.06,1.021,2.05,26,8,1
107.4,233.67,0.46,-126.27,1,6,1
73.64,175.08,0.421,-101.44,27,4,1
97.86,94.03,1.041,3.82,9,4,0
91.8,39.8,2.307,52.01,25,9,0
136.16,352.88,0.386,-216.72,5,4,1
16.36,5.35,3.059,11.01,5,7,0
49.33,139.63,0.353,-90.29,19,6,1
143.06,285.34,0.501,-142.28,21,2,1
134.64,157.39,0.855,-22.75,3,5,0
73.79,71.25,1.036,2.55,50,3,0
96.82,31.4,3.083,65.42,1,9,0
48.83,45.7,1.069,3.14,1,10,1
36.34,24.41,1.488,11.92,12,1,0
74.92,146.3,0.512,-71.39,17,10,1
59.47,44.58,1.334,14.89,45,4,0
91.71,158.41,0.579,-66.7,7,4,1
20.88,39.54,0.528,-18.65,1,9,1
146.42,161.75,0.905,-15.33,12,1,0
148.07,58.44,2.534,89.63,4,2,0
107.74,43.16,2.496,64.58,7,1,0
85.05,31.57,2.694,53.49,9,1,0
53.33,122.44,0.436,-69.1,1,1,1
123.93,143.59,0.863,-19.66,9,3,1
105.86,259.36,0.408,-153.5,7,4,1
32.77,48.02,0.682,-15.26,17,10,1
137.53,209.47,0.657,-71.94,14,2,1
125.16,210.86,0.594,-85.7,2,1,1
142.97,318.14,0.449,-175.17,3,5,1
111.6,115.89,0.963,-4.29,4,6,1
95.88,60.24,1.592,35.64,2,2,0
68.55,123.49,0.555,-54.94,14,3,1
140.58,166.29,0.845,-25.7,72,10,1
131.25,196.18,0.669,-64.93,14,3,1
16.33,33.42,0.489,-17.09,13,2,1
13.69,22.37,0.612,-8.68,7,4,0
62.7,123.83,0.506,-61.12,5,5,1
123.48,218.47,0.565,-95.0,33,8,1
148.22,340.52,0.435,-192.31,48,6,1
31.06,68.52,0.453,-37.46,9,9,1
93.18,162.35,0.574,-69.17,4,3,1
63.32,135.07,0.469,-71.75,20,10,1
145.79,387.59,0.376,-241.81,1,9,1
127.9,187.64,0.682,-59.74,20,4,1
127.37,180.15,0.707,-52.79,23,8,1
75.62,178.72,0.423,-103.1,1,10,1
68.07,127.5,0.534,-59.42,52,7,1
48.28,23.74,2.034,24.54,59,7,0
17.89,48.47,0.369,-30.57,38,9,1
131.06,50.21,2.61,80.85,9,10,0
123.81,287.31,0.431,-163.51,3,2,1
149.96,352.22,0.426,-202.26,12,5,1
149.53,429.66,0.348,-280.13,7,3,1
87.76,39.16,2.241,48.6,3,7,0
117.66,224.91,0.523,-107.25,7,3,1
142.27,207.02,0.687,-64.76,15,5,1
128.95,153.8,0.838,-24.85,1,5,1
44.63,24.27,1.839,20.36,5,2,0
73.08,132.94,0.55,-59.86,1,1,0
28.08,44.75,0.628,-16.66,19,6,1
143.57,83.6,1.717,59.97,14,1,0
94.86,185.34,0.512,-90.47,1,9,1
42.01,96.31,0.436,-54.3,46,10,1
104.04,246.74,0.422,-142.7,1,5,1
96.54,264.95,0.364,-168.41,12,1,1
60.14,84.53,0.711,-24.39,20,8,1
25.9,74.41,0.348,-48.51,21,1,1
104.02,274.27,0.379,-170.25,1,4,1
82.84,91.17,0.909,-8.33,33,7,1
118.12,86.24,1.37,31.89,35,4,0
82.82,122.21,0.678,-39.39,11,5,1
129.31,179.1,0.722,-49.8,9,7,1
87.27,161.83,0.539,-74.56,1,4,1
88.53,166.01,0.533,-77.48,11,5,1
132.73,308.6,0.43,-175.86,7,7,1
66.49,111.48,0.596,-44.99,20,1,0
28.76,16.77,1.715,11.99,7,3,0
14.03,36.72,0.382,-22.69,16,1,1
115.72,131.5,0.88,-15.78,1,3,0
96.84,283.02,0.342,-186.18,1,2,1
108.57,67.12,1.618,41.45,2,5,0
39.81,114.96,0.346,-75.14,1,10,1
29.09,15.88,1.832,13.22,10,5,0
12.04,11.12,1.082,0.92,22,10,1
59.08,25.16,2.349,33.93,13,9,0
92.59,204.05,0.454,-111.46,11,8,1
64.91,168.5,0.385,-103.59,15,3,1
71.25,104.87,0.679,-33.63,5,1,1
136.58,383.39,0.356,-246.81,6,5,1
58.76,111.27,0.528,-52.52,5,3,1
81.96,164.0,0.5,-82.04,17,5,1
119.71,309.17,0.387,-189.46,2,9,1
65.52,72.16,0.908,-6.64,1,1,0
97.09,122.0,0.796,-24.91,12,1,0
130.73,359.0,0.364,-228.27,39,9,1
142.93,390.58,0.366,-247.65,13,3,1
30.59,89.83,0.341,-59.24,21,10,1
139.72,382.14,0.366,-242.41,15,5,0
78.9,50.8,1.553,28.09,9,9,0
46.15,116.5,0.396,-70.34,17,5,1
74.28,104.48,0.711,-30.2,24,3,1
147.2,437.96,0.336,-290.75,3,9,1
78.97,124.38,0.635,-45.42,5,7,1
56.03,100.59,0.557,-44.56,3,7,1
98.68,170.75,0.578,-72.07,8,8,1
43.62,50.98,0.856,-7.36,30,5,1
20.62,10.36,1.99,10.26,5,2,0
28.04,76.23,0.368,-48.19,6,9,1
27.93,68.9,0.405,-40.97,27,3,1
31.27,21.16,1.478,10.11,10,2,0
29.44,70.57,0.417,-41.13,10,10,1
99.72,198.43,0.503,-98.7,27,10,1
35.46,49.81,0.712,-14.35,9,5,1
58.39,57.57,1.014,0.83,16,8,1
135.55,355.31,0.381,-219.76,1,3,1
76.35,167.26,0.457,-90.9,2,6,1
103.46,184.04,0.562,-80.58,7,9,1
34.12,66.4,0.514,-32.28,9,2,1
36.92,20.15,1.832,16.77,47,8,0
15.72,24.83,0.633,-9.11,49,10,1
33.65,27.69,1.215,5.96,26,7,0
49.0,42.27,1.159,6.73,5,3,0
34.78,72.54,0.479,-37.76,46,1,1
22.42,61.88,0.362,-39.47,16,6,1
26.89,37.38,0.719,-10.49,6,2,0
74.51,64.15,1.162,10.36,16,3,0
38.89,79.78,0.487,-40.89,1,5,1
61.0,161.78,0.377,-100.78,2,8,1
80.48,186.75,0.431,-106.27,24,2,1
106.66,282.17,0.378,-175.52,14,6,1
15.5,27.11,0.572,-11.61,6,1,1
